entidad_federativa;matricula;total;hombres;mujeres;porcentaje_hombres;porcentaje_mujeres
Quintana Roo_5;Superior;39464;19099;20365;48;52
San Luis Potosi_1;Preescolar;111336;56464;54872;51;49
San Luis Potosi_2;Primaria;292270;148400;143870;51;49
San Luis Potosi_3;Secundaria;142927;72122;70805;51;50
San Luis Potosi_4;Media superior;101107;49063;52044;49;52
San Luis Potosi_5;Superior;78564;36312;42252;46;54
Sinaloa_1;Preescolar;108442;55079;53363;51;49
Sinaloa_2;Primaria;303191;154921;148270;51;49
Sinaloa_3;Secundaria;152219;77048;75171;51;49
Sinaloa_4;Media superior;141619;68908;72711;49;51
Sinaloa_5;Superior;130407;60519;69888;46;54
Sonora_1;Preescolar;84984;42735;42249;50;50
Sonora_2;Primaria;288929;147265;141664;51;49
Sonora_3;Secundaria;144188;72954;71234;51;49
Sonora_4;Media superior;123022;60310;62712;49;51
Sonora_5;Superior;114080;53537;60543;47;53
Tabasco_1;Preescolar;102686;51579;51107;50;50
Tabasco_2;Primaria;270241;137295;132946;51;49
Tabasco_3;Secundaria;135967;69798;66169;51;49
Tabasco_4;Media superior;117029;58831;58198;50;50
Tabasco_5;Superior;70585;35406;35179;50;50
Tamaulipas_1;Preescolar;100930;50813;50117;50;50
Tamaulipas_2;Primaria;353648;179582;174066;51;49
Tamaulipas_3;Secundaria;169786;85293;84493;50;50
Tamaulipas_4;Media superior;141720;69377;72343;49;51
Tamaulipas_5;Superior;135398;62556;72842;46;54
Tlaxcala_1;Preescolar;48054;24071;23983;50;50
Tlaxcala_2;Primaria;147740;74778;72962;51;49
Tlaxcala_3;Secundaria;73763;37358;36405;51;49
Tlaxcala_4;Media superior;60547;29772;30775;49;51
Tlaxcala_5;Superior;39836;18072;21764;45;55
Veracruz de Ignacio de la Llave_1;Preescolar;214518;107675;106843;50;50
Veracruz de Ignacio de la Llave_2;Primaria;761275;387652;373623;51;49
Veracruz de Ignacio de la Llave_3;Secundaria;370457;187379;183078;51;49
Veracruz de Ignacio de la Llave_4;Media superior;309309;149917;159392;49;52
Veracruz de Ignacio de la Llave_5;Superior;185176;90699;94477;49;51
Yucatan_1;Preescolar;77977;39585;38392;51;49
Yucatan_2;Primaria;218826;111396;107430;51;49
Yucatan_3;Secundaria;104189;52803;51386;51;49
Yucatan_4;Media superior;95321;46843;48478;49;51
Yucatan_5;Superior;79554;38013;41541;48;52
Zacatecas_1;Preescolar;68198;34210;33988;50;50
Zacatecas_2;Primaria;190204;96367;93837;51;49
Zacatecas_3;Secundaria;89195;44423;44772;50;50
Zacatecas_4;Media superior;64332;29916;34416;47;54
Zacatecas_5;Superior;47516;21373;26143;45;55
